text,label,speaker
"And I was looking at an annual last night,",sd,B
"and, uh, I felt like just miserable all weekend",sd,A
"It's one of the quickest,",sd,B
"You know, it, you know,",%,B
and he was always on pretty good terms with them.,sd,B
"That's something that, uh, people have seen.",sd,B
"yeah,",b,A
Uh-huh.,b,B
"you're always just paying bills, paying bills, you know,",sv,B
"and, uh, we have four children",sd,B
That's scary.,ba,B
"I, uh,",%,B
"Yeah,",%,B
Right.,fc,B
"in the first place, you know, there's also like taxation without representation.",sv,B
Yeah.,b,B
and,%,A
"that was a Disney movie, wasn't it.",qy,B
Uh-huh.,b,B
Well,b,B
"It's interesting, though.",sv,B
"Uh, once they have that, then they can start looking in all the various publications that give out all the information about schools and write to the schools themselves, and start finding out about the different requirements for the programs and what kind of, uh, of job assistance and all that other kind of stuff they offer.",sv,B
"but that's neat though, because you get to have different stuff",sv,A
True.,aa,B
"Oh, I don't know.",sd,B
Oh have you?,bh,A
you got to tie them up and everything.,aa,B
and they want to come home,sv,A
Kind of hard to do gradually.,sv,B
"and they just change the title and, uh, and reshot a few parts, you know, where they, yeah, you know, where they could.",sd,B
Uh-huh.,b,B
"I mean, you know, when I think of this one friend who makes probably twenty thousand dollars a year, and I'm sure she spends at least that in clothes, plus, you know, fast food every day, and out to lunch every day,",sd,A
You know.,b,B
You don't want the government to spend your money.,sd,A
"In North Garland,",sd,B
Uh-huh.,b,A
Well thank you for calling.,fc,B
yeah.,b,B
"But, uh, there's, uh, some, some stuff that I want to do with like Sierra Club and go down to Grand Canyon or something like that.",sd,B
I just heard about this last week.,sd,A
but in Lubbock we have a few that you can send your children to,sd,B
Yes.,ny,A
It's free,sd,A
"And you know, when, um, when last year the elections were going, on the governors election and state and, you know.",sd,A
"So it seems to me that while those changes are taking place, maybe we're not well preparing people to make the changes with them.",sv,B
"and they said there is no way you can get this car for that price, especially if we add on the equalizer and the cruise control.",sd,A
Which is in now.,sd,A
I guess I'm like my parents.,sd,B
"Oh, oh.",b,B
"to,",%,A
"I mean, so many people don't even get prenatal care",sv,B
"but I mean, in,",%,A
"Uh, I really don't know what we can do about it.",h,A
"Of course, you got a little different direction going,",sv,A
"So we,",%,A
"and I think they have not, uh, lead the field in styling,",sv,A
That's really sad.,sv,A
You can just trust someone else to give you full exercise,sv,A
Uh-huh.,b,B
So I didn't know if that was just something for drama or that's truly the way it is.,sd,B
I do want to have a raised bed.,sd,A
Bye-bye.,fc,A
Yeah.,b,B
"and, uh, but he, but, you know, he likes to pick the grass up, too.",sd,A
"I,",%,A
Right.,na,A
"only those two,",sd,A
Yeah.,b,A
"Well, we, uh, generally,",%,A
"but if it's something that, you know, might help, you know,",sv,A
I really enjoy doing that.,sd,B
"Oh, of course,",aa,A
"and,",%,A
"And yet, uh, I, I",%,B
"And since then, I, I live alone,",sd,A
Really.,b,B
"yeah,",ny,A
"Well, I hope it is,",sd,B
I think we've talked about six minutes or so.,sd,A
Oh.,b,B
"So that, that's the way things are.",sd,B
"and we usually serve fresh fruit and, uh, then make a dessert.",sd,A
"So, you know, changing the oil, changing the spark plugs",sd,B
"and, uh, we're, uh, I, I've kind of got my fingers crossed.",sd,B
I haven't used mine for anything major. Just doctor visits,sd,B
Yeah.,b,B
"and she said, yeah,",sd,A
"And, and I said, well, you know, that was okay.",sd,A
I'll let you lead out.,oo_co_cc,B
Good-bye.,fc,A
Plano's doing real good on that.,sd,B
and I just get kind of tired of all that.,sd,A
"We have plastic, you know, just tied down on everything, you know, as best we could,  real thick edge stuff, I mean,",sd,B
Uh-huh.,b,A
"Uh, I made scallops the other night,",sd,A
"Let's see,",^h,A
"I think the next time we have an election we need to try to get some of the ones that have been there forever out, too, that, what they did last election,",sv,B
Yeah.,ny,B
but they should start that a lot earlier.,sv,A
Oh.,b,A
"Yeah,",b,B
You can't really run away from the problem,sv,B
and it's on.,sd,B
"I mean I could see people putting swimming pools in the back yard all around me,",sd,A
"you'd be amazed at how clear the sky was,",sd,A
"and, um, apparently what had happened was that I had a grandfather who, um, put her into a mental institution.",sd,B
"and they'll be my helper,",sd,B
"but now it's a, you know, it's so strict that you can't just do that.",sv,B
"And then, you know, I mean, even at that you have to consider the logistics of it.",sv,B
Is that a nice vacation spot?,qy,A
"Yeah,",b,B
"But,",%,A
"and, boy, I tell you what, I've been terrible ever since then.",sd,A
"I mean, it's that, it's that kind of like  half inch of foam or something.",qy^d,B
"Yes,",aa,B
"I've been listening to, um, some, uh, some advertisements for MADAM BUTTERFLY,",sd,A
And now the Red Lobster I found is very nice at lunchtime.,sv,A
"Whereas in the paper, I like to read the articles because they get every side, every single side,",sv,A
"I've had a dryer, an ice maker, a microwave, all three,",sd,B
They didn't call them closets.,sd,A
Is she of Alzheimer's or something like that?,qrr,A
Right.,aa,A
I never really worry very much about it.,sd,A
We find ourselves eating a lot of macaroni and cheese,sd,B
A running total.,b,B
"we have a,",sd,A
"I just, I'm more into, you know, sitting, than I am",sv,A
"and they, they sure were right,",sd,A
"Well, no.",nn,A
and they don't do very much vigorous exercise at all.,sd,A
That's interesting.,ba,B
I think so too.,aa,A
Uh-huh.,b,A
"Oh, okay,",b,B
Um.,b,A
"Well, nobody's going to forget Tom Landry.",sv,B
"Turns out, you don't, you don't, you don't really find bagels in Israel.",sd,B
the stuffed turnover.,^2,A
"Well it's getting where you can't hardly afford, if you're going to give your kids any kind of education and stuff you can't hardly afford to have over two.",sv,A
"and then, you know, people asking for, for money for everything, you know,",sd,B
"then he's been working for the company for a while, too.",sd,B
"we were at a soccer game Saturday,",sd,B
but I don't even know their names.,sd,B
bye-bye.,fc,A
I mean at one point it's going to be too late to do it. .,sv,B
"you're, you're certainly in the majority uh, at least in this country.",sd,A
"and, uh, that's how you come up with aspirin that costs four dollars apiece and things like that. The horror stories that you hear about people going into the hospital for a week and, uh, it being, a four thousand dollar bill.",sv,A
"Yeah,",b,B
"The bitterness is more on a personal level than on a,",sv,A
"But,",%,A
"Really,",b,A
That's really good.,sv,A
Folk music.,b^m,B
"I mean it, alleviates your problem",sd,A
okay.,bk,A
"I, I, I think that they will be more in the work place because, uh, the door's open.",sv,A
"Well, do you have, um, uh,",qy,B
so I'm not even going to try,^q,A
"Oh, that's great. Long as it's not raining.",ba,A
you have to watch that too.,sv,B
Yeah.,aa,B
Uh-huh.,b,B
"So,",%,A
His son pitched for U T,sd,B
And then even my eleven year old boy loves to listen to it.,sd,A
"the difficult, I, point is, is to, where do we step in,",qh,B
"Yeah,",b,B
"And then she was diagnosed having inoperable type of cancer,",sd,B
I think that's it.,sv,B
"we have places that, uh, pay for paper to recycle,",sd,B
"I wanted to see it, uh, because there was, uh, much recommended, for months and months and months",sd,A
I think the um,%,A
I had to go through this with my dad about four years ago.,sd,A
"You know, I just worry,",sd,A
"Yeah,",%,B
"Or whether, uh, and whether the rights of that individual are been, have been, you know, impuned.",sv,A
"But, uh, yeah,",b,B
"You work for a big company, then.",qy^d,B
"Or, or even have had the ability, you know, the chance to, to go to college or to, to to learn about,",sv,B
Right.,b,B
"Yes,",aa,B
"If I, if see a, if I see a pile of cans or bottles or something I'll throw it in there",sd,B
yeah.,aa,B
"They're arguing over, well, were his civil rights violated because, uh someone didn't file the proper paper at the proper time.",sd,A
"and, uh, he would particularly enjoy this",sd,A
Teams in your area.,^2,A
"but what if, if that wasn't the case.",qh,B
"So I, I have a lot of children in, in the school system down here.",sd,A
"and,",%,A
"Yeah,",ny,B
"uh, but all of it has to do, in my opinion with the service. and the attitude of the service, of the dealership.",sv,B
it just was not effective enough to ...,sv,B
Kind of like a radar gun.,sd,A
You have children?,qy^d,A
"but as far as any formal budgeting, uh, you know, I, I, we just apparently have been very fortunate.",sd,A
"Uh-huh,",aa,A
And I think that the people who are strongly in favor of the death penalty are really working from that gut level.,sv,B
"It's, it's really funny as an American and always being an ally with the Israelis.",sd,A
"but, um, it made a big difference in my life not to have a radio that was easy access,",sd,B
"We once had a situation where someone was using a credit card number of ours and he actually had our phone number,",sd,A
"Right side,  of the tracks,",^2,A
Uh-huh.,b,B
They think it's okay thing to do.,bf,B
"And, like I said, we was just big kids.",sd,A
"I mean, that's,",%,A
"my children, I have five children",sd,A
Uh-huh.,b,A
Yeah.,ny,B
"Yes,",aa,B
Yeah.,b^m,B
"I mean, you're just with them,",sv,A
"Like, Queen's Reich, if you ever heard of them.",qy^d,A
"or for whatever reasons, you know, politics, just let all kinds of people through",sv,B
"of course, uh, uh, military service falls under the category, uh, of a public service.",sv,A
yeah.,aa,B
Uh-huh.,b,A
"Yeah,",b,B
"Hence is possible error as you can see in all the IRONSIDES, T V shows.",sv,B
"and so when we talk about,",sd,B
I like funny movies,sd,B
but it wasn't any of my immediate family anyway. Because I didn't have any of them left.,sd,A
Do you go on long?,qy,B
Yeah.,%,B
"That's my understanding of the way, uh, the way it works.",sd,A
"So,",%,A
"Oh, yes,",ny,B
"or,",%,A
My problem is I don't want to wake up another half hour earlier and do more,sd,A
Uh-huh.,b,B
Yeah.,b,A
"I, I do a fair amount of cooking.",sd,A
I was surprised,sd,A
"Anything,",fc,B
That's right.,aa,B
"so like as you're sewing the seam, it's finishing off the inside edge.",bf,B
"but you could see where they would come off in the, how hot it got because it was still the scorch on them which was quite interesting.",sv,A
Right.,b,B
"you know, you know you don't,",%,B
and that's what I'm thinking I'm going to have to do because mine's sitting right out in front of my bedroom,sd,B
Plain yogurt?,qy^d,B
"Oh, yeah.",b,B
Right.,b,A
and really receive some revenues from.,sv,A
"Um, I try to see whatever I can.",sd,A
"it's, uh, the whole thing about, you know, if, if you're trying to concentrate, well, it's rather hard,",sv,B
"So, we took it back to the, uh, Oldsmobile place and asked them to check it out,",sd,B
Yeah.,b,A
"what do you think of that new luxury car tax, anything over ten or thirty thousand dollars?",qo,B
California is the biggest for elementary schools,sd,A
Uh-huh.,b,B
"Yeah,",b,B
"and I said, Well, you're not going to have to type on the computer one day,",sv,A
"Exactly,",aa,A
"Yes,",aa,B
and sometimes we do eggs if I get up early enough to do that.,sd,B
"I never have liked her,",sv,B
Oh.,b,A
"Um, there was an Agape music group,",sd,B
Oh.,b,A
yeah.,%,A
we love the,sd,A
"Yeah,",aa,A
"Yeah,",ny,A
"I have,",aa,B
"Oh, that's nice.",ba,B
Really.,b,A
Yep.,ny,B
"That's, a lot of money that you went to buy this item.",sv,B
"Well, you know, that's exactly, I mean, I'm, I'm not saying I, I think capital murder or capital punishment is the perfect solution in every case, you know, especially because there are some cases when you just don't know",sv,B
I just.,%,B
"Yeah,",b,A
"But, uh, but our organization is doing something else on Monday.",sd,A
"Well, he had a young girlfriend.",sd,B
and I really enjoyed it.,sd,A
"Maybe, maybe that.",aa,B
Glen teaches here too.,sd,B
"And, uh, but on the whole I think it, uh, probably was the wrong thing to do.",sd,A
"She really knew that she didn't have to do that,",sd,B
"And it, ever since that time I just don't watch. Uh,",sd,B
"But, there's a lot of, uh, old time wealth there that, has helped to stabilize things.",sd,A
so  you'll have that,sv,A
"but, uh, talking about Latin America, I kind of, I consider Latin America to include Central and South America",sd,A
and I keep mine outside the garage so that I don't have any odors,sd,B
yeah.,ny,A
Oh.,b,A
"Like I, I traded my, uh, three eighty-six for the four eighty-six for about six hundred.",sd,B
"but I get distracted and get to do something else,",sd,B
"So you probably work with, uh, uh,",qy^d,A
Yeah.,b,B
I did work in government.,sd,B
"And, so they don't have a disk drive.",sd,A
"Yeah, uh,",aa,A
"No,",aa,B
"Well, I don't know,",h,B
"So. So I haven't, uh, I haven't been in any really home repair things lately.",sd,A
sure.,aa,A
"We,",%,A
there are.,sd,B
"If, if",%,B
"So, I'm excited about the recycling program in Plano",sd,A
Yeah.,b,A
they always either have,sv,B
Bye.,fc,A
Uh-huh.,b,B
Uh-huh.,b,B
"Well, he did refute it.",ar,B
"know if you don't, then they're adding on, what, eighteen, nineteen, twenty percent.",sd,A
"I don't, I don't notice",sd,A
"You know, you can, you can still get factory original parts.",sd,A
Yeah.,b,B
"You know they really need surveyors cause you could, you're free to travel anywhere.",sd,B
I have a friend down the street's from New Jersey,sd,A
"Yeah,",b,B
"so have to depend,",sv,A
but lately it's been just about that.,sd,A
"the Lions are pretty good, I'm afraid, they a lot better team than the Cowboys were today.",sv,A
"I didn't read, see the, the movie,",no,B
And the Mavericks are,sv,B
"Oh, yeah,",b,B
Uh-huh.,b,B
Right,b,A
I know I am.,sd,B
"you can have your phone number unlisted,",sd,A
"Oh, I see.",bk,A
"I don't know, it's, it's funny,",h,B
Haven't done a whole lot down here.,sd,A
"That's,",%,B
"Yeah,",b,A
"I sent off for stuff on it,",sd,B
"But, um, that's the only thing I would ever have ever used it for the phone",sd,A
Yeah.,ny,B
"Yeah,",b^m,A
"I guess if, it, uh, it looks like, more like a cross between, uh, a crab and, uh, and a lobster.",sd,A
"so it's,",%,B
"Well, they're working on diapers, which would be great,",sd,B
Uh-huh.,b,B
"They said to her that even if she left her purse on the subway okay, that she would have that purse returned to her, this is how confident they were, okay, with nothing missing",sd,B
Okay.,"fo_o_fw_""_by_bc",A
"No,",aa,B
you got to take them for walks,sv,A
"So it's, uh, wound up that, uh, we're the old folks now.",sd,A
It's not a treat,sv,A
"I fortunately, I have never been in that circumstance,",sd,B
Yeah.,b,B
"but, other than that it's not something that we use a lot of.",sd,A
"I still don't think that, they after my experiences that they could, you know, get me to go back, ever again",sv,B
"And while he was there, he caught some kind of a strange disease.",sd,A
everything has to be typed.,sd,B
yeah.,b,A
I'm at home.,sd,A
"Yes,",ny,B
I really do.,sd,B
Uh-huh,b,B
"it's, what it costs now is ridiculous,",sd,B
"I mean, it just seems like there, there should be a limit on how many appeals can be made.",sv,B
"Right,",na,B
Yeah.,b,A
"that,  he was willing to come down a little bit and,",bf,B
Yeah.,b,A
"Well, what else do you like?",qo,A
"and I've made many trips to Washington and down to Virginia Beach, Virginia, where my mother lives, and things like that,",sd,B
"and they just sleep and eat bits of apple and carrots and,",sd,A
it's a pretty good size.,sd,B
so that was nice.,sv,B
Right.,b,A
"the only reason our car industry hasn't gone down the tubes is because the Japanese, you know, came into it and helped,  us out.",sv,A
Exactly.,aa,A
"I've got where now I can hit it in, in the air some of the time.",sd,B
"This morning it was twenty-nine,",sd,B
"You have got four hours of day light, good skiing left.",sd,B
"and, that was an interesting topic.",sv,A
Yeah,b,B
"Oh, well.",b,B
"And I, well, I guess you could say one of the problems with the public education system is the disparity between different schools.",sv,B
"it's not going to be so humid,",^q,A
"and that way we're not really missing any thing out, you know, of children,",sd,A
"and, uh, it was very scary",sd,B
Huh-uh.,aa,A
"Oh, my goodness.",ba,A
"And I wanted something else to do,",sd,A
"And I know that's tough if you don't, uh, at least give it a shot.",sv,A
"And, uh, their insurance plan that they're under encourages you to shorten your stay in the hospital.",sd,A
I do to.,aa,B
True.,aa,B
"because she wanted, you know, she just seemed to enjoy it so much",sd,B
"So we're spend a lot of time on the house and out in the yard and things. But. Um, like to keep up to date too.",sd,A
Yeah.,b,A
"And by the time he plays two games a week and I play a game a week, we go to lots of softball",sd,B
"I mean, I don't know what happened last time.",sd,A
Uh-huh.,b,B
"and the bank scurried it back to my account,",sd,A
"The, uh, the, uh, the role of women in combat roles during the war?",sd,A
Bye.,fc,A
"And, it seems like, uh, we're catching all that residue.",sv,A
on your Commodore.,b,B
"It's nice to not have a drip through from the roof, isn't it",qy,A
"I always like the musicals, and uh,  those ones, that just stick in your head.",sd,B
That's the way I look at it.,sd,B
"they did a survey of everybody,",sd,B
but we don't have so much wasted space.,sd,A
"We have them at one school like,",na,A
"but you, you have to use it in combination with a sewing machine.",sd,A
or,%,A
"So, they, uh,",%,A
"You got to kind of work, work that into your budget.",sv,B
Yeah.,b,B
I never have.,sd,A
"Yeah,",ny,B
Uh-huh.,b,A
"I, I am.",sv,A
"And most of the problems with kids in school carrying guns and, and knives and everything,",sv,A
"and I were the kids, the newlyweds, so to speak",sd,A
"Oh, it's,",%,A
I'm just  as guilty as the rest in that respect.,sd,B
I do,sd,B
Uh-huh.,b,B
Um.,b,B
"Have you worked mostly on I B M,",qy^d,A
"Oh, well, I'm in, I'm in the C building,",sd,B
"And he'll say, you know, hey, that guy did it, you know, not me.",sd,B
"and I think it's more convenient, too, in a lot of cases,",sv,B
"Well, I, I agree with that,",aa,B
"and it was just really nice, that time of year.",sd,B
almost unlikely at this point.,sv,B
yeah,ny,A
"just what that area,",%,A
Ooh.,ba,B
Yeah.,b,B
"Well, that's good.",ba,B
Right.,b,A
"And what I found out is, if you look at the bottom of those bags, Kroger or whatever the plastic ones, they've got numbers on them.",sd,B
and it was snowing there.,sd,A
I forget how many millimeters.,sd,A
Yeah.,aa,A
or if somebody gets sick.,^2,A
"Just, I just, I really, especially in the election year, I mean, I'm really thinking a lot about this, the economy and questions like that and, and just the whole,",sd,B
"But she actually killed the furrier. Or someone,",sd,A
I'm twenty-six.,sd,A
"and then I'm trying to think, um,",^h,A
"Anyway it was, it ended up being just a huge, huge dog that ate us out of house and home.",sd,A
Uh-huh.,b,A
"okay,",b,B
"That's true,",aa,B
"Yeah,",aa,A
"In fact, it puts it out on Tuesdays and Thursdays I can hardly wait to get that to get the local news",sd,A
shoot I need one of those,sd,B
"Oh, uh-huh.",b,A
Okay,bk,A
Huh.,%,B
"Um, I think if they, if they started executing them on a regular basis, uh, that I think it might make a difference.",sv,A
"Oh, really.",b,A
"That's true,",aa,A
"Well, I think that should be likewise decided by the jury, you know, because, I don't know, I think a jury would be less likely to just send a man to death just for, any reason,",sv,B
"Is that for designs,",qy,B
"well, I think it's better to use credit cards, too, like I say, because there's so many people around any more that's watching what you're doing",sv,A
They can't be accepted into society.,sv,B
no.,ny,B
That's exactly right.,aa,A
Uh-huh.,b,A
Right.,b,A
you just take off your mortgage interest,sv,A
Uh-huh.,b,A
He likes it,sd,A
"something that kind of concerns me is, uh, you know, you and I are tested for, for whatever work we happen to do.",sv,B
Huh.,%,A
"I, I bet it was,",ba,B
Yeah.,b,B
"Yeah,",b,B
but,%,B
"and then, you know, we put I guess it's like fifteen to twenty percent into a savings account.",sd,A
and there's beaches,sd,A
I just recently stopped working so I can be home with my kids,sd,A
"or, you know, that's a,",%,B
"and, you know it's really,",sd,B
Andrews?,qy,A
A little Sesame Street one,sd,A
"Oh, wow.",ba,B
"I guess the economy is, is effecting also the news media",sv,A
Goodness sake.,ba,B
"I think that there should be no way, I, I realize that innocent people could go to, uh, what is it, lethal injection now.",sv,B
they each have that.,^q,B
And I think now it's revolving back full circle.,sv,A
Physics.,b^m,B
"Oh, well that's neat,",ba,A
Right.,b,A
"Yeah,",ny,B
Oh,b,B
"How much, how well they're doing.",^2,A
"Well, let me see,",^h,B
"and, and the one D J said, who the heck is Bonnie Rait and why does she deserve five Grammies?",sd,B
I am at work right now.,sd,B
"Well it, it",%,B
"I think we should try it, like you say,",sv,A
"And foremost, uh, where we compare that we are now doing fifty percent of our, uh, people are voting.",sv,A
"Did you see any of those, uh, I,",qy,A
Uh-huh.,b,A
"and he said that people have no idea, he said, of, of what human sacrifice is, you know,",sd,B
Uh-huh.,b,A
"And then if that, if you discover the little tricks and tips about, you know, how you get through corners and how you do trim and, uh, how long to leave the masking tape down, because if you leave it too long and it dries it can flake when it, when you pull it up.",sv,A
"my father has, uh, five sisters and two brothers",sd,B
Yeah,b,A
I'm trying to think.,h,B
"Are you a, a native Texan?",qy,B
"Well,",%,A
"Uh, I was down at about four or five quite awhile ago.",sd,A
I think exercise is extremely important,sv,B
"Generally, people, I've read polls now where they've excused him because there was a, a definite necessity to balance the budget.",sd,A
"right,",b,A
"but, uh, I don't know,",h,B
"So, so what ended up happening was, was a, was a shift.",sd,B
"Well, um, I, we just recently graduated from Rice University,",sd,B
"we had lived out, um, west of San Antonio, in Castroville,",sd,B
"You are legal in, in your circumvention of that law.",sd,A
"And the old, uh, if you can't see it, then you can't spend it, uh, idea",sv,B
Uh-huh.,b,A
"You know, and you think to yourself, oh, my goodness, Eisenhower",sv,A
Yeah.,b,A
"and there's really nothing in them but advertisements for very expensive clothes, very expensive jewelry things that the average middle class citizen is not going to be purchasing",sv,A
so the annual fee.,bf,B
"It's so I find myself putting glasses on to, to watch T V and then taking them off to do needlework",sd,B
"so I won't be here very long,",sd,A
and this year they're all excited.,sd,A
Uh-huh.,b,A
"right,",aa,A
Uh-huh.,b,B
we've enjoyed living here.,sd,A
"And Kenny Rogers, he's kind of country western verge, you know on the verge of country western.",sv,A
so.,%,B
"I mean if, if, you know, that, that's the trade off.",sv,B
"but,",%,A
"but I can remember coming to work from,",sd,A
And I just do warehouse work.,sd,A
"and, um, I get my attitude expressed through them,",sd,B
and they're just rebuilding,sd,A
Uh-huh.,b,A
"I've got a, I've got a degree from another college",sd,B
how come you wouldn't take them to a day-care?,qw,A
"I can, I can believe that.",sv,A
"Uh,",%,B
I I belong to Quality Paperback Book Club.,sd,A
and then I was afraid to do the eaves way up high and stuff.,sd,B
And so that was really the only experience that I've had with guns,sd,B
You want to get a start?,ad,A
"But I agree with you,",sd,A
Right.,b,B
"and,",%,A
"it, it works best if they have pleats in the front",sv,B
"From what I understand, they act up pretty bad",sv,B
Um.,b,A
"but for, for criminal suits it's unanimous by federal law?",qy^d,B
"but if somebody can make a regulation about it, they will.",sv,B
"Well, actually we haven't had to. Uh, until just recently.",sd,A
"You know, so",%,A
You still have relatives back there,qy^d,A
How much chili sauce did you say?,qw,A
"but, I, I don't get to see that as much as I want",sd,B
"Oh, oh, I see,",b,B
"but when it comes to, uh, small corporations they seem to pocket it a little bit quick, quickly, or whatever, or however you want to say it",sv,A
"She's on a, a stool that she can get up on",sd,A
I agree.,aa,A
"Uh, well, we're supposed to talk about vacations",na,A
but they didn't appear to belong to anyone.,sd,B
Okay.,"fo_o_fw_""_by_bc",B
"Um, yeah,",ny,B
Uh-huh.,b,B
bye.,fc,B
Uh-huh.,b,A
"Oh, okay.",bk,A
"So, I've worked for them for several years, like twelve now, I guess.",sd,A
"So it, it is, it is nice,",sv,A
"And we're the mobile, mobile society, uh,",sv,A
"And he has, I would say, he adjusted very well",sd,A
"well we just finished watching, uh, TEENAGE MUTANT NINJA TURTLES on tape, you know",sd,A
"Uh, and how, how do you feel about, uh, let's see, eye care?",qo,A
"you leave your car running, you know,",sd,A
"they never know when they want to run out and do an errand at noon, you know, they just feel they need their car.",sd,B
I carry a fanny pack,^q,A
Uh-huh.,b,A
Oh.,b,A
Uh-huh.,b,B
"Well I think it, I think it was sort of on the grounds that they were considering whether she would live there",sv,B
"It's, uh, to high school kids, it's, uh, alternative learning",sd,B
No snow?,bh,A
"Because my oldest daughter is in school,",sd,B
Yeah.,b,B
I'm not.,sd,A
the book is so detailed,sd,A
"Anyway, you know, the point was, what happens when public education fails?",sd,A
"He wasn't always funny in that show, was he.",qy,A
"I work in a school system,",sd,B
I don't know if the T I in Dallas does or not.,sd,B
"Um, well, not, not really from, you know,",ng,B
I don't know what's going to,sd,A
"and my husband had always had that before we got married,",sd,A
Wow.,b,B
Okay.,b,A
"I, I do not really know that they have the answers in those books.",h,B
"I'm in favor of very little clean up, um, very little planning because we've got three or four couples that we get together with to play games,",sd,B
It's safe.,^2,A
how do you feel about it?,qo,B
"Yeah,",b,B
"Well, I'm afraid that's what they, they really wanted to do, um,",sv,A
I'm thirty-five.,sd,B
Yeah.,b,A
"and there are some crimes that could be committed against her that are not even considered capital crimes, that, that I would consider basis for murder.",sv,B
It was heading north.,sd,A
Yeah.,b,B
"And so we wanted a smaller car,",sd,A
"Oh, I see.",b,A
Uh-huh.,b,A
Uh-huh.,b,A
"And my mom was like, ""They should just be all shot right now.""",sd,B
"Uh-huh,",aa,A
"and, uh, you know, there was, there was, nothing on it,",sd,B
"So I'm having to, uh, try to figure out a way to be able to do that.",sd,B
"Yeah,",ny,A
"of course I've added several different recipes,",sd,A
"You get the flavor of the yolk,",sd,A
Uh-huh.,b,B
"Well they're like two,",sd,A
"or it can be,",%,A
"the State of Texas, for example, may, uh, you know, may execute somebody twice a year.",sd,B
"what do you, what do you do when you get a, I mean, like a really violent storm like a tornado,",qw,A
it sure is.,sd,A
"and in Orlando, there's, crime is getting to be a bigger problem than ever,",sd,B
"that, uh, that was my graduation present to myself,",sd,B
"If you, if you, if you're not buying the most expensive clothes out there the, the quality is really not that great, you know, for the price that you pay.",sv,A
Uh-huh.,b,A
She never really ate very well.,sd,B
"And, one place I'd never been that I would really like to go to, uh, is Lawry's.",sd,B
"but we just, we just never saw the results.",sd,B
"The, the kind of country I like is kind of the older country music. Not the, not the kind like Kenny Rodgers and stuff like that.",sd,B
